model,sample,orientation,housing,dimming,rack,branch,socket
19,7,h,0,0,6,7,7
19,8,h,0,0,6,7,8
19,9,h,0,0,6,7,9
19,10,h,0,0,6,7,10
19,11,u,1,0,1,8,9
19,12,u,1,0,6,8,2
19,13,u,1,0,6,8,3
19,14,u,1,0,6,8,4
19,15,u,1,0,6,8,5
19,16,u,0,0,7,8,6
19,17,u,0,0,7,8,7
19,18,u,0,0,7,8,8
19,19,u,0,0,7,8,9
19,20,u,0,0,7,8,10
19,21,d,0,1,2,2,9
19,22,d,0,1,2,2,10
19,23,u,0,1,2,4,8
19,24,u,0,1,2,4,9
19,25,d,0,0,1,4,9
19,26,h,0,1,2,6,9
19,27,h,0,1,2,6,10
19,28,u,1,1,2,8,8
19,29,u,1,1,2,8,9
19,30,u,1,1,2,8,10
19,31,u,0,1,2,4,10
20,1,u,0,1,2,4,5
20,2,u,0,1,2,4,6
20,3,u,0,1,2,4,7
20,4,d,0,1,2,2,7
20,5,d,0,1,2,2,8
20,6,h,0,1,2,6,7
20,7,h,0,1,2,6,8
20,8,u,1,1,2,8,5
20,9,u,1,1,2,8,6
20,10,u,1,1,2,8,7
20,11,d,0,0,6,2,1
20,12,d,0,0,6,2,2
20,13,d,0,0,6,2,3
20,14,d,0,0,6,2,4
20,15,d,0,0,6,2,5
20,16,h,0,0,6,7,1
20,17,h,0,0,6,7,2
20,18,h,0,0,6,7,3
20,19,h,0,0,6,7,4
20,20,h,0,0,6,7,5
20,21,u,1,0,1,8,10
20,22,u,1,0,6,8,7
20,23,u,1,0,6,8,8
20,24,u,1,0,6,8,9
20,25,u,1,0,6,8,10
20,26,u,0,0,7,8,1
20,27,u,0,0,7,8,2
20,28,u,0,0,7,8,3
20,29,u,0,0,7,8,4
20,30,u,0,0,7,8,5
20,31,d,0,0,1,4,10
